name,category,cat_code,addr,road_addr,x,y,do,si,gu
대왕암공원 오토캠핑장,숙박,AD5,울산 동구 일산동 909-1,울산 동구 등대로 80-61,35.488148735945025,129.43917010073562,울산,동구,일산동
나사해수욕장,관광명소,AT4,울산 울주군 서생면 나사리,,35.3555219269576,129.342767739185,울산,울주군,서생면
신평소공원,기타,,부산 기장군 일광읍 신평리 11-1,,35.2937912932843,129.260564792035,부산,기장군,일광읍
힐링빌리지,숙박,AD5,울산 울주군 서생면 화산리 430-2,울산 울주군 서생면 마근1길 22-49,35.37175727284447,129.2799727452581,울산,울주군,서생면
덕신소공원,기타,,울산 울주군 온산읍 덕신리 269,,35.433446620947926,129.31109528661824,울산,울주군,온산읍
갈맷길 1코스1구간 시작인증대,관광명소,AT4,부산 기장군 장안읍 임랑리 145-5,,35.3159251173896,129.262152719176,부산,기장군,장안읍
울주해양레포츠센터 캠핑장,숙박,AD5,울산 울주군 서생면 진하리 57-3,울산 울주군 서생면 해맞이로 1560,35.3804171380748,129.343870472477,울산,울주군,서생면
서생포왜성,기타,,울산 울주군 서생면 서생리 711,,35.3831977185046,129.334294856668,울산,울주군,서생면
드메르,카페,CE7,부산 기장군 일광읍 신평리 4,부산 기장군 일광읍 일광로 582-48,35.2923219427938,129.25991943009774,부산,기장군,일광읍
알로하펜션,숙박,AD5,부산 기장군 일광읍 신평리 22-4,부산 기장군 일광읍 일광로 582-14,35.2938856414593,129.260145365826,부산,기장군,일광읍
포트334,숙박,AD5,울산 울주군 서생면 대송리 334,울산 울주군 서생면 송정1길 37-1,35.3664523556238,129.353965408203,울산,울주군,서생면
울산 장생포고래광장,기타,,울산 남구 매암동 210,,35.5052834350988,129.381221055957,울산,남구,매암동
솔개공원,기타,,울산 울주군 서생면 진하리 17-1,울산 울주군 서생면 해맞이로 1416,35.3733431380124,129.350482314015,울산,울주군,서생면
리버사이드펜션,숙박,AD5,부산 기장군 일광읍 신평리 7,부산 기장군 일광읍 일광로 582-44,35.2928212821797,129.25962337686,부산,기장군,일광읍
송정공원,기타,,울산 울주군 서생면 대송리 339-29,울산 울주군 서생면 송정1길 96,35.369828024559,129.354785134569,울산,울주군,서생면
진하오토캠핑장,숙박,AD5,울산 울주군 서생면 진하리 57-11,울산 울주군 서생면 해맞이로 1560,35.3784969508648,129.343823711125,울산,울주군,서생면
대바위공원,기타,,울산 울주군 서생면 진하리 57-22,,35.3772183771109,129.344517249845,울산,울주군,서생면
우리펜션,숙박,AD5,울산 울주군 서생면 화산리 936,울산 울주군 서생면 화산발리로 204,35.3618327020319,129.291113813765,울산,울주군,서생면
해바라기펜션,숙박,AD5,울산 울주군 서생면 나사리 456-4,울산 울주군 서생면 나사해안길 147,35.3529172425078,129.34660361308,울산,울주군,서생면
온산국가산업단지 미세먼지 차단숲,기타,,울산 울주군 온산읍 처용리 609,,35.4620994903758,129.338657199195,울산,울주군,온산읍
