attractions,etc,accomodation,restaurant,cafe,A11,A12
0.203703704,0.173076923,0.342105263,0.545454545,0.204081633,0.884026258,0.862955032
0.166666667,0.211538462,0.210526316,0.25,0.142857143,0.875273523,0.856531049
0.074074074,0.038461538,0.052631579,0.090909091,0.112244898,0.881838074,0.862955032
0.037037037,0.038461538,0.144736842,0,0.020408163,0.903719912,0.867237687
0.055555556,0.057692308,0.00877193,0.045454545,0,0.897155361,0.867237687
0.148148148,0.153846154,0.131578947,0.045454545,0.010204082,0.901531729,0.871520343
0.037037037,0,0.01754386,0,0,0.892778993,0.860813704
0.037037037,0.096153846,0,0.068181818,0.153061224,0.888402626,0.854389722
0,0.057692308,0.01754386,0.022727273,0.030612245,0.831509847,0.856531049
0.074074074,0.019230769,0.01754386,0,0.010204082,0.899343545,0.858672377
0.037037037,0.096153846,0.118421053,0.022727273,0.020408163,0.884026258,0.843683084
0,0.076923077,0.030701754,0.022727273,0.010204082,0.899343545,0.862955032
0.074074074,0.096153846,0.021929825,0.022727273,0.051020408,0.888402626,0.845824411
0.055555556,0.153846154,0.043859649,0.022727273,0.030612245,0.868708972,0.843683084
0,0.038461538,0.021929825,0,0.010204082,0.868708972,0.843683084
0.055555556,0.173076923,0.004385965,0.113636364,0.071428571,0.89059081,0.845824411
0.092592593,0.096153846,0.00877193,0.022727273,0.040816327,0.901531729,0.854389722
0.074074074,0.134615385,0.035087719,0,0.010204082,0.901531729,0.871520343
0.018518519,0.038461538,0.061403509,0,0.071428571,0.910284464,0.858672377
0,0.057692308,0,0.295454545,0.326530612,0.866520788,0.792291221
0.148148148,0.384615385,0.131578947,0.340909091,0.612244898,0.956236324,0.888650964
0.092592593,0.057692308,0.013157895,0.068181818,0.030612245,0.925601751,0.869379015
0.074074074,0.25,0.004385965,0.090909091,0.255102041,0.934354486,0.91862955
0.074074074,0.076923077,0.004385965,0.045454545,0.071428571,0.888402626,0.856531049
0,0.269230769,0.026315789,0.068181818,0.091836735,0.934354486,0.91006424
