att,etx,acc,res,caf,A11,A12,x1,x2,x3,x5,x6
0.055555556,0.153846154,0.021929825,0.045454545,0.091836735,0.617834395,0.632958801,0.024914021,0.042315747,0.036181262,0.066195462,0.007885916
0.12962963,0.423076923,0.083333333,0.886363636,0.93877551,0.560509554,0.719101124,0.124880132,0.27695247,0.108731595,0.731757739,0.073181168
0,0.076923077,0.01754386,0,0.010204082,0.598726115,0.647940075,0.084576239,0.024676236,0.067013226,0.034841366,0.026340524
0.166666667,0.153846154,0.350877193,0.113636364,0.030612245,0.579617834,0.689138577,0.162255632,0.032921544,0.107856517,0.043699189,0.105245341
0.148148148,0.192307692,0.004385965,0.090909091,0.142857143,0.636942675,0.74906367,0.014234325,0.097579006,0.015078089,0.089842009,0.001201477
0.055555556,0.115384615,0.043859649,0.022727273,0.030612245,0.598726115,0.632958801,0.070913157,0.038455829,0.032203222,0.044842268,0.047415292
0,0.076923077,0.109649123,0.022727273,0,0.566878981,0.677902622,0.142137713,0.10090325,0.101490668,0.044634915,0.065509848
0.074074074,0.096153846,0.065789474,0.113636364,0.204081633,0.477707006,0.655430712,0.057110529,0.053630216,0.041152479,0.106079645,0.118663791
0.092592593,0.173076923,0.030701754,0.045454545,0.142857143,0.636942675,0.74906367,0.056299378,0.212584273,0.051592323,0.098911181,0.204127158
0.037037037,0.038461538,0,0.045454545,0.112244898,0.605095541,0.696629213,0.001172732,0.034375008,0.013083943,0.048579577,0.00153609
0.055555556,0.038461538,0,0.045454545,0.142857143,0.585987261,0.730337079,0.007809734,0.026338868,0.023806321,0.072778638,0.001651542
0.092592593,0,0.026315789,0.022727273,0.040816327,0.617834395,0.767790262,0.006132439,0.033672509,0.032345104,0.084524534,0.02750417
0,0.115384615,0,0,0.102040816,0.573248408,0.823970037,0.000336146,0.05508266,0.020865335,0.056868897,1.96E-06
0.12962963,0.269230769,0.065789474,0.045454545,0.051020408,0.649681529,0.782771536,0.024920208,0.037946172,0.090984804,0.036066779,0.183603557
0.037037037,0.230769231,0.013157895,0.704545455,0.653061224,0.624203822,0.715355805,0.005275231,0.42192899,0.159462372,0.275252453,0.000366574
0.092592593,0.230769231,0.026315789,0.181818182,0.183673469,0.636942675,0.647940075,0.239059945,0.111466244,0.089830881,0.092158382,0.041900369
0.092592593,0.038461538,0.00877193,0.068181818,0.091836735,0.624203822,0.707865169,0.029417284,0.020386247,0.022927142,0.032155051,0.040656494
0.037037037,0.019230769,0.087719298,0.022727273,0.010204082,0.573248408,0.674157303,0.035523601,0.04818266,0.063859417,0.017940424,0.026655569
0.037037037,0.134615385,0.048245614,0.022727273,0.020408163,0.566878981,0.666666667,0.04747433,0.03183693,0.054435304,0.030718129,0.064324026
0.074074074,0.288461538,0.149122807,0.090909091,0.112244898,0.585987261,0.606741573,0.069471645,0.045173699,0.066301764,0.044142672,0.050961019
0.111111111,0.096153846,0.131578947,0.136363636,0.071428571,0.566878981,0.666666667,0.05403228,0.082032197,0.176560441,0.078061261,0.264533012
0.055555556,0.096153846,0.026315789,0.022727273,0.010204082,0.636942675,0.722846442,0.042647294,0.014343837,0.015870334,0.011352293,0.040214257
0.074074074,0.134615385,0.048245614,0,0.010204082,0.675159236,0.74906367,0.015308756,0.025674631,0.021974151,0.012008564,0.055295337
0.018518519,0.038461538,0.035087719,0,0,0.585987261,0.707865169,0.022345147,0.005390928,0.007786314,0.00485257,0.021247618
0.12962963,0.096153846,0.070175439,0,0.020408163,0.707006369,0.730337079,0.092495272,0.022436095,0.097872255,0.029822051,0.17445746
0.055555556,0.192307692,0.01754386,0,0.020408163,0.719745223,0.752808989,0.016595599,0.059492538,0.047201758,0.031511729,0.005775178
0.018518519,0.192307692,0,0.363636364,0.469387755,0.74522293,0.767790262,0.047389091,0.28474016,0.067027989,0.246320245,0.005321199
0.12962963,0.153846154,0.074561404,0.045454545,0.010204082,0.636942675,0.72659176,0.122107783,0.036648309,0.041351361,0.047368872,0.062166324
0,0.057692308,0.087719298,0,0,0.668789809,0.741573034,0.033186387,0.013460739,0.035100331,0.014089767,0.012475271
0.222222222,0.25,0.135964912,0,0.040816327,0.662420382,0.756554307,0.093742245,0.048844856,0.390809542,0.088117798,0.308743713
0.037037037,0.153846154,0.030701754,0,0.030612245,0.656050955,0.737827715,0.017222523,0.030200827,0.026886319,0.021573337,0.023435324
0.833333333,0.807692308,0.833333333,0.636363636,0.469387755,0.598726115,0.734082397,0.572603857,0.477034097,0.85159421,0.461910531,0.639515809
0.018518519,0.096153846,0,0.068181818,0.112244898,0.719745223,0.764044944,0.00028734,0.089052085,0.053788221,0.079352221,0.000653572
0.074074074,0.019230769,0.039473684,0,0.102040816,0.656050955,0.737827715,0.0515074,0.033762298,0.057933978,0.075378623,0.170465582
0.074074074,0.057692308,0.039473684,0,0.010204082,0.636942675,0.707865169,0.064612988,0.034410209,0.029266746,0.014129255,0.135959319
