attractions,etc,accomodations,restaurant,cafe,A11,A12
0.092592593,0.192307692,0.048245614,0.340909091,0.479591837,0.522292994,0.74906367
0.148148148,0.115384615,0.245614035,0.363636364,0.316326531,0.439490446,0.797752809
0.074074074,0.076923077,0.105263158,0.136363636,0.102040816,0.566878981,0.730337079
0.148148148,0.076923077,0.030701754,0.272727273,0.12244898,0.649681529,0.741573034
0.055555556,0.019230769,0.00877193,0,0,0.802547771,0.820224719
0.12962963,0.115384615,0.793859649,0.318181818,0.071428571,0.719745223,0.782771536
0.203703704,0.192307692,0.25,0.022727273,0.051020408,0.751592357,0.797752809
0.074074074,0.134615385,0.144736842,0.522727273,0.765306122,0.777070064,0.764044944
0.111111111,0.096153846,0.280701754,0.25,0.030612245,0.636942675,0.760299625
0.074074074,0.346153846,0.021929825,0.204545455,0.43877551,0.675159236,0.779026217
0.111111111,0.096153846,0.346491228,0.295454545,0.173469388,0.738853503,0.786516854
0.074074074,0.288461538,0.201754386,0.340909091,0.316326531,0.732484076,0.756554307
0.074074074,0.288461538,0.004385965,0.318181818,0.285714286,0.713375796,0.764044944
0.074074074,0.153846154,0.074561404,0.045454545,0.020408163,0.751592357,0.816479401
0.055555556,0.076923077,0.013157895,0.022727273,0.030612245,0.694267516,0.74906367
0.037037037,0.096153846,0.021929825,0,0,0.611464968,0.707865169
0.018518519,0.096153846,0.004385965,0,0.040816327,0.605095541,0.730337079
0.074074074,0.057692308,0.057017544,0,0.020408163,0.78343949,0.782771536
0.055555556,0.076923077,0.048245614,0.045454545,0,0.789808917,0.782771536
0.055555556,0.076923077,0.021929825,0.068181818,0.051020408,0.789808917,0.771535581
0.092592593,0.096153846,0.302631579,0.136363636,0.081632653,0.732484076,0.779026217
0.240740741,0.480769231,0.105263158,0.204545455,0.673469388,0.649681529,0.741573034
0.074074074,0.076923077,0.01754386,0.045454545,0.081632653,0.738853503,0.737827715
0.055555556,0.038461538,0.048245614,0,0,0.78343949,0.790262172
0.037037037,0,0.135964912,0.045454545,0.040816327,0.789808917,0.797752809
